date,ZOMER
2024-09-29,15
2024-10-06,15
2024-10-13,16
2024-10-20,17
2024-10-27,17
2024-11-03,14
2024-11-10,15
2024-11-17,16
2024-11-24,16
2024-12-01,17
2024-12-08,16
2024-12-15,19
2024-12-22,22
2024-12-29,27
2025-01-05,31
2025-01-12,31
2025-01-19,29
2025-01-26,32
2025-02-02,30
2025-02-09,30
2025-02-16,30
2025-02-23,34
2025-03-02,37
2025-03-09,39
2025-03-16,43
2025-03-23,44
2025-03-30,43
2025-04-06,40
2025-04-13,39
2025-04-20,37
2025-04-27,55
2025-05-04,45
2025-05-11,63
2025-05-18,54
2025-05-25,57
2025-06-01,65
2025-06-08,71
2025-06-15,100
2025-06-22,84
2025-06-29,100
2025-07-06,87
2025-07-13,78
2025-07-20,65
2025-07-27,56
2025-08-03,57
2025-08-10,65
2025-08-17,42
2025-08-24,33
2025-08-31,28
2025-09-07,23
2025-09-14,23
2025-09-21,18
2025-09-28,16
